gene_symbol	ACD	ACN	ALO
RAET1E	27.333	51.079	24.360
RAF1	429.539	330.126	249.030
RAG1	11.006	10.241	11.910
RAG1AP1	203.556	289.286	786.900
RAG2	7.833	7.844	7.800
RAGE	87.544	76.955	96.580
RAI1	175.485	169.505	168.580
RAI14	379.678	360.590	180.340
RAI2	161.578	253.979	216.960
RALA	790.889	904.913	350.360
RALB	387.828	243.448	119.050
RALBP1	489.819	572.706	389.300
RALGAPA1	93.814	74.745	71.797
RALGAPA2	103.554	58.540	39.690
RALGAPB	160.067	206.118	159.800
RALGDS	810.800	485.135	182.690
RALGPS1	44.944	38.985	35.336
RALGPS2	87.839	80.715	106.125
RALY	338.800	343.620	379.320
RALYL	14.567	15.328	8.660
RAMP1	78.589	100.291	93.980
RAMP2	90.567	107.821	172.780
RAMP3	203.311	157.586	53.840
RAN	3111.333	1597.038	1101.080
RANBP1	311.211	264.612	151.220
RANBP10	63.725	72.728	59.565
RANBP17	32.256	38.338	32.840
RANBP2	368.717	274.088	321.940
RANBP2 /// RGPD1 /// RGPD2 /// RGPD3 /// RGPD4 /// RGPD5 /// RGPD6 /// RGPD8	77.956	27.255	40.980
RANBP3	130.786	123.299	108.335
RANBP3L	11.622	10.419	12.400
RANBP6	467.178	383.997	390.460
RANBP9	333.567	354.185	357.705
RANGAP1	157.785	159.059	168.813
RANGRF	138.278	165.958	69.380
RAP1A	388.572	457.399	291.445
RAP1B	2232.433	2394.942	1671.860
RAP1GAP	67.406	72.762	88.140
RAP1GAP2	115.789	161.448	98.180
RAP1GDS1	289.396	282.905	243.193
RAP2A	474.474	341.445	385.873
RAP2A /// RAP2B	99.500	70.986	136.680
RAP2B	315.996	557.082	487.987
RAP2C	272.217	374.030	128.380
RAPGEF1	134.904	126.036	96.493
RAPGEF2	163.140	175.579	104.060
RAPGEF3	58.706	67.378	92.650
RAPGEF4	19.444	35.963	74.200
RAPGEF5	39.433	84.000	62.210
RAPGEF6	175.594	158.495	30.940
RAPGEFL1	264.789	160.815	339.600
RAPH1	229.878	249.535	221.956
RAPSN	14.767	14.978	42.040
RARA	87.498	90.746	109.472
RARB	23.853	24.394	33.625
RARG	110.241	86.676	147.720
RARRES1	84.581	400.299	189.247
RARRES2	230.944	391.468	537.620
RARRES3	291.244	203.923	210.640
RARS	696.833	761.165	145.420
